id,evidence_type,population,comparator,predictor_or_exposure,health_outcome,study_design,effect_direction,effect_estimate,sample_size,population_size,study_period,data_source,recruitment_site,enrollment_site,study_site,statistical_methods,evidence_sentence,citation,source_title,confidence,review_status,reviewer_notes
clin-1500,clinical epidemiology cohort,pregnant women/infants,not specified,clinical predictors / cohort factors,fertility; reproductive,retrospective cohort study,positive association,not extracted,2122 patients,not reported,2014-2017,medical / chart records,not specified,not specified,not specified,multivariable linear regression; logistic regression,"We analyzed the medical records of 2122 patients who underwent fresh or frozen ART cycles during 2014-2017 in the Lombardy region, north-west Italy.",PMID: 34487809,"Association between short-term exposure to particulate matter air pollution and outcomes of assisted reproduction technology in Lombardy, Italy: A retrospective cohort study",medium,pending,
clin-1501,clinical trial / intervention study,cohort participants,not specified,trial intervention / treatment exposure,not extracted,clinical trial / intervention study,intervention effect evaluated,not extracted,not reported,not reported,2019,not specified,not specified,not specified,not specified,meta-analysis,Six studies were included in the quantitative analysis.,PMID: 34486257,The Effect of Particulate Matter Reduction by Indoor Air Filter Use on Respiratory Symptoms and Lung Function: A Systematic Review and Meta-analysis,low,pending,
clin-1502,clinical trial / intervention study,pregnant women/infants,not specified,trial intervention / treatment exposure,not extracted,clinical trial / intervention study,biological effect observed,not extracted,not reported,not reported,2016-2018,medical / chart records,not specified,not specified,not specified,not extracted,"An IQR increase in PM was significantly related to lower HC (95% CI: 0.11, -0.01, P-value = 0.03).",PMID: 34480947,Association of traffic-related air pollution with Newborn's anthropometric indexes at birth,low,pending,
clin-1503,clinical trial / intervention study,pregnant women/infants/children,not specified,trial intervention / treatment exposure,not extracted,clinical trial / intervention study,intervention effect evaluated,not extracted,"1,918,105 infants",not reported,2015-2019,not specified,not specified,not specified,not specified,not extracted,"There are 1,918,105 infants included in the study, of which 9588 had CHD, with a prevalence rate of 499.9 per 100,000 (95% CI: 489.9, 509.8).",PMID: 34476711,Associations between ambient heat exposure early in pregnancy and risk of congenital heart defects: a large population-based study,low,pending,
clin-1504,clinical / observational study,study participants,not specified,Fine Particulate Pollution,cardiovascular,case-crossover study,positive association,"The ORs associated with extremely heavy PM pollution events lasting for 3 days or more for total cardiovascular disease, angina, myocardial infarction, ischemic stroke, and heart failure were 1.085 (95% CI: 1.077-1.093), 1.112 (95% CI: 1.095-1.130), 1.068 (95% CI: 1.037-1.100), 1.071 (95% CI: 1.053-1.090), and 1.060 (95% CI: 1.021-1.101), respectively.","2,202,244 admissions","2,202,244 admissions",2013-2017,not specified,not specified,not specified,not specified,regression models,"The ORs associated with extremely heavy PM pollution events lasting for 3 days or more for total cardiovascular disease, angina, myocardial infarction, ischemic stroke, and heart failure were 1.085 (95% CI: 1.077-1.093), 1.112 (95% CI: 1.095-1.130), 1.068 (95% CI: 1.037-1.100), 1.071 (95% CI: 1.053-1.090), and 1.060 (95% CI: 1.021-1.101), respectively.",PMID: 34474733,Risk of Cardiovascular Hospital Admission After Exposure to Fine Particulate Pollution,high,pending,
clin-1505,clinical / observational study,cohort participants,not specified,low level air pollution and mortality in eight European cohorts within the ELAPSE project: pooled analysis,mortality,cohort study,positive association,"Higher exposure to PM2.5, nitrogen dioxide, and black carbon was associated with significantly increased risk of almost all outcomes.",367 adults,367 adults,not specified,not specified,not specified,not specified,not specified,regression models,"Higher exposure to PM2.5, nitrogen dioxide, and black carbon was associated with significantly increased risk of almost all outcomes.",PMID: 34470785,Long term exposure to low level air pollution and mortality in eight European cohorts within the ELAPSE project: pooled analysis,high,pending,
clin-1506,clinical trial / intervention study,pregnant women/infants,not specified,trial intervention / treatment exposure,not extracted,clinical trial / intervention study,intervention effect evaluated,not extracted,not reported,not reported,2019,not specified,not specified,not specified,not specified,not extracted,The data were combined with our earlier data on perfluoroalkyl substances (PFASs) in the same cohort (Mamsen et al.,PMID: 34467953,Mixtures of persistent organic pollutants are found in vital organs of late gestation human fetuses,low,pending,
clin-1507,pharmacy education / simulation evaluation study,pregnant women/infants,not specified,evaluator type: standardized patient evaluator vs pharmacist evaluator,not extracted,education / simulation evaluation study,agreement/disagreement comparison,not extracted,not reported,not reported,not specified,Project Viva birth cohort,not specified,not specified,Project Viva birth cohort,not extracted,"We compare our method to a distributed lag model approach that models DNA methylation in a probe-by-probe manner, both in simulation and by application to motivating data from the Project Viva birth cohort.",PMID: 36313278,FUNCTION-ON-FUNCTION REGRESSION FOR THE IDENTIFICATION OF EPIGENETIC REGIONS EXHIBITING WINDOWS OF SUSCEPTIBILITY TO ENVIRONMENTAL EXPOSURES,low,pending,
clin-1508,clinical epidemiology cohort,cohort participants,not specified,clinical predictors / cohort factors,all-cause mortality; therapy safety,prospective cohort study,lower risk,not extracted,"76,176 adults",not reported,not specified,not specified,not specified,not specified,not specified,not extracted,"During 448,499 person-years of follow-up, 2230 CVD events and 2777 all-cause deaths were recorded.",PMID: 34461320,Benefits of active commuting on cardiovascular health modified by ambient fine particulate matter in China: A prospective cohort study,medium,pending,
clin-1509,clinical epidemiology cohort,pregnant women/infants,not specified,clinical predictors / cohort factors,fertility,prospective cohort study,null / no clear association,RR = 2.28,305 women,not reported,2015-2017,a prospective cohort,Beijing City (Beijing Center,not specified,a prospective cohort,Bayesian kernel machine regression,"Therefore, we aimed to analyze the associations of women's exposure to PFASs with pregnancy loss, the relevant processes of fertilization, zygote implantation, and embryo development by using a prospective cohort study.",PMID: 34454360,Early pregnancy loss: Do Per- and polyfluoroalkyl substances matter?,high,pending,
clin-1510,clinical trial / intervention study,pregnant women/infants/children,not specified,"test whether providing pregnant women liquefied petroleum gas (LPG) cookstoves versus improved biomass cookstoves would reduce personal carbon monoxide and fine particulate pollution exposure, increase birth weight and reduce physician-assessed severe pneumonia in the first 12 months of life, compared with control participants who continued to cook with traditional stoves",morbidity; mortality,randomized clinical trial,intervention effect evaluated,not extracted,1414 women,not reported,2014-2015,not specified,not specified,not specified,not specified,not extracted,"Enrolment began on 14 April 2014, and ended on 20 August 2015.",PMID: 34452940,A cluster randomised trial of cookstove interventions to improve infant health in Ghana,medium,pending,
clin-1511,retrospective clinical / observational study,patients aged younger than 17 years who visited the ED with a primary diagnosis of asthma,not specified,PM constituents on ED visits for pediatric asthma,mortality; asthma,case-crossover study,positive association,"In the single-pollutant model, the estimated risk increase for pediatric asthma incidence on lag 3 were 14.7% [95% confidence interval (CI), 3.2-27.4%], 13.5% (95% CI, 3.3-24.6%), 14.8% (95% CI, 2.5-28.6%), and 19.8% (95% CI, 7.6-33.3%) per interquartile range increments in PM, PM, nitrate, and OC, respectively.","1,597 participants","1,597 participants",2007-2010,not specified,not specified,our study,"PM, PM",not extracted,"In the single-pollutant model, the estimated risk increase for pediatric asthma incidence on lag 3 were 14.7% [95% confidence interval (CI), 3.2-27.4%], 13.5% (95% CI, 3.3-24.6%), 14.8% (95% CI, 2.5-28.6%), and 19.8% (95% CI, 7.6-33.3%) per interquartile range increments in PM, PM, nitrate, and OC, respectively.",PMID: 34445977,Fine particulate matter constituents associated with emergency room visits for pediatric asthma: a time-stratified case-crossover study in an urban area,medium,pending,
clin-1512,clinical epidemiology / health equity cohort,cohort participants,not specified,clinical predictors / cohort factors,cardiovascular; cancer,not specified,unspecified,not extracted,not reported,not reported,not specified,not specified,not specified,not specified,not specified,not extracted,"Urban populations of color are concentrated in historically redlined, segregated, disinvested, and marginalized neighborhoods with inadequate quality housing and limited access to resources, including quality greenspaces designed to support natural ecosystems and healthy outdoor activities while mitigating urban environmental challenges such as air pollution, heat island effects, combined sewer overflows and poor water quality.",PMID: 34444169,Resilience and Equity in a Time of Crises: Investing in Public Urban Greenspace Is Now More Essential Than Ever in the US and Beyond,medium,pending,
clin-1513,clinical trial / intervention study,cohort participants,not specified,trial intervention / treatment exposure,not extracted,clinical trial / intervention study,intervention effect evaluated,not extracted,not reported,not reported,2015-2016,not specified,not specified,not specified,not specified,not extracted,The residential area was selected as Eunpyeong-gu of Seoul Metropolitan City and the industrial area as Jung-gu of Incheon Metropolitan City.,PMID: 34433346,Association between exposure level of air pollutants and incidence rate of circulatory disease in residential and industrial areas of South Korea,low,pending,
clin-1514,clinical epidemiology cohort,children,not specified,clinical predictors / cohort factors,morbidity; mortality,retrospective cohort study,positive association,RR: 1.29,"2,223,507",not reported,2013-2016,not specified,not specified,not specified,not specified,Poisson regression,There were statistically significant positive associations between pollutants and natural causes of death: RR (per 10 μg/m) for PM 1.11 (1.07 to 1.15) and for NO 1.10 (1.07 to 1.12).,PMID: 34428652,"Long term exposure to air pollution, mortality and morbidity in New Zealand: Cohort study",high,pending,
clin-1515,clinical / observational study,"children (2.9 ± 0.5 y old, n = 391) were recruited from a mother-child cohort study in Wuhan, China",not specified,air pollution and cell-mediated immune responses in preschoolers,immune,cohort study,positive association,"Prenatal exposures to PM, PM, and NO during early pregnancy were negatively associated with %CD3 and %CD3CD8 cells, and during late pregnancy were positively associated with %CD3 cells.",391,391,not specified,a mother-child cohort,"a mother-child cohort study in Wuhan, China",not specified,a mother-child cohort,not extracted,"Pre-school aged children (2.9 ± 0.5 y old, n = 391) were recruited from a mother-child cohort study in Wuhan, China.",PMID: 34426263,Early life exposure to air pollution and cell-mediated immune responses in preschoolers,medium,pending,
clin-1516,clinical / observational study,children born in California,not specified,traffic-related air pollution during pregnancy has been shown to increase the risk of adverse birth outcomes and childhood disorders,immune/inflammation; cancer,case-control study,positive association,"After controlling for confounding factors, partial least square regression (Variable Importance in Projection (VIP) ≥ 2) selected 402 HILIC positive and 182 C18 negative features as statistically significantly associated with increasing third trimester particulate matter exposure.",not reported,not reported,1998-2007,California cancer registry,not specified,not specified,not specified,not extracted,We retrieved stored neonatal blood spots for 241 children born in California between 1998 and 2007.,PMID: 34419469,Child serum metabolome and traffic-related air pollution exposure in pregnancy,medium,pending,
clin-1517,longitudinal clinical / observational study,pregnant women/infants/children,not specified,mixtures of persistent endocrine disrupting chemicals and postnatal body size in British girls,clinical / health outcome described in the abstract,longitudinal observational study,positive association,The mixture representing all three classes combined (31 chemicals) (n = 301) was inversely associated with postnatal body size.,425 Children,425 Children,not specified,not specified,not specified,not specified,not specified,Bayesian kernel machine regression,"Holding all EDCs in the 31-chemical mixture at the 75th percentile compared to the 50th percentile was associated with 0.15 lower weight-for-age z-score (95% credible interval -0.26, -0.03).",PMID: 34418724,Prenatal exposure to mixtures of persistent endocrine disrupting chemicals and postnatal body size in British girls,high,pending,
clin-1518,clinical epidemiology cohort,pregnant women/infants,not specified,clinical predictors / cohort factors,birth weight; pregnancy outcomes,prospective cohort study,positive association,"RR =1.034, 95% CI 1.009, 1.059",not reported,not reported,2013-2017,a prospective cohort,not specified,not specified,a prospective cohort,logistic regression,"In addition, O exposure in the first trimester (adjusted RR =1.034, 95% CI 1.009, 1.059) also increased the macrosomia risk.",PMID: 34417698,Prenatal air pollution exposure increases the risk of macrosomia: evidence from a prospective cohort study in the coastal area of China,high,pending,
clin-1519,cross-sectional clinical / observational study,"children (n = 218) to examine associations between air pollutants (nitrogen dioxide (NO2), nitrogen oxides (NO), elemental carbon, polycyclic aromatic hydrocarbons, carbon monoxide (CO), fine particulates (PM)) and biomarkers of metabolic function (high-density lipoprotein (HDL), hemoglobin A1c (HbA1c), oxi",not specified,NO (-15,clinical / health outcome described in the abstract,cross-sectional analysis,positive association,"HDL cholesterol showed an inverse association with NO and NO2, with the strongest relationship between HDL and 3-month exposure to NO (-15.4 mg/dL per IQR increase in 3-month NO2, 95% CI = -27.4, -3.4).",218 children,218 children,not specified,not specified,not specified,not specified,not specified,not extracted,"HDL cholesterol showed an inverse association with NO and NO2, with the strongest relationship between HDL and 3-month exposure to NO (-15.4 mg/dL per IQR increase in 3-month NO2, 95% CI = -27.4, -3.4).",PMID: 34417545,"Traffic-related air pollution, biomarkers of metabolic dysfunction, oxidative stress, and CC16 in children",medium,pending,
clin-1520,clinical / observational study,participants,not specified,black carbon and mortality: A 28-year follow-up of the GAZEL cohort,all-cause mortality; cardiovascular mortality,cohort study,positive association,"We found significant associations between BC exposure and all-cause mortality (n = 2357) using both 20-year moving average of BC and residual of BC, with corresponding hazard ratios (HR) of 1.14 (95 %CI: 1.07-1.22) and 1.17 (95 %CI: 1.10-1.24) for an inter-quartile range (IQR) increase (0.86 10/m for BC and 0.57 10/m for residual of BC).",2357,2357,1989-2017,GAZEL cohort,not specified,not specified,GAZEL cohort,regression models,"In addition, the effect of BC was higher among never-smokers and among those having fruit/vegetables less than twice a week.",PMID: 34375941,Long-term exposure to black carbon and mortality: A 28-year follow-up of the GAZEL cohort,high,pending,
clin-1521,clinical trial / intervention study,children,not specified,trial intervention / treatment exposure,"kidney molecular, vascular, inflammatory, and metabolic markers",clinical trial / intervention study,intervention effect evaluated,not extracted,123 children,not reported,not specified,not specified,not specified,not specified,"PM had high metals in blood and high production of IgE, IL",not extracted,"The higher concentrations of metals in the Padad as the industrial ambient air i.e., arsenic, cadmium, chromium, mercury and nickel coincided with the higher concentrations of those metals in exposed children (P < 0.05) versus the controls.",PMID: 34371327,"Effect of ambient air PM-bound heavy metals on blood metal(loid)s and children's asthma and allergy pro-inflammatory (IgE, IL-4 and IL-13) biomarkers.",medium,pending,
clin-1522,clinical / observational study,study participants,not specified,primary study factor described in the abstract,cardiovascular,case-crossover study,positive association,"The results showed that each 10 μg/m increase in previous-day PM concentration was associated with a risk increase of 0.44% (95%CI: 0.40%, 0.47%) for cardiovascular disease, 0.66% (95%CI: 0.58%, 0.73%) for angina pectoris, 0.53% (95%CI: 0.39%, 0.66%) for chronic ischemic heart disease, 0.48% (95%CI: 0.34%, 0.63%) for myocardial infarction, 0.44% (95%CI: 0.29%, 0.60%) for hypertensive heart disease and 0.40% (95%CI: 0.27%, 0.52%) for ischemic stroke.",1938 admissions,1938 admissions,2017-2013,not specified,not specified,not specified,not specified,not extracted,"Compared with 2013, the above-mentioned four burdens decreased by 18.17%, 28.80%, 18.90% and 13.72% in 2017, respectively.",PMID: 34365258,"PM-associated risk for cardiovascular hospital admission and related economic burdens in Beijing, China.",medium,pending,
clin-1523,clinical epidemiology cohort,pregnant women/infants,not specified,clinical predictors / cohort factors,not extracted,prospective cohort study,positive association,"RR = 1.15, 95% CI: 1.04, 1.27",1481 women,not reported,not specified,not specified,not specified,not specified,"PM, PM",Poisson regression,"In single-pollutant models, an IQR increase in PM, PM, and NO during the second trimester was associated with an increased risk of depressive symptoms (PM RR = 1.15, 95% CI: 1.04, 1.27; PM RR = 1.13, 95% CI: 1.04, 1.23; NO RR = 1.15, 95% CI: 1.03, 1.29) after adjusting for relevant covariates.",PMID: 34364017,Association of ambient air pollution with depressive and anxiety symptoms in pregnant women: A prospective cohort study,low,pending,
clin-1524,longitudinal clinical / observational study,"children between the ages of 4 and 6 who are followed longitudinally within the ENVIRONAGE birth cohort, we measured skin perfusion by Laser Doppler probes using the Periflux6000",not specified,"In this study, we investigated the association between pre- and postnatal air pollution exposure on heat-induced skin hyperemia as a dynamic marker of the microvasculature..",cardiovascular,longitudinal observational study,null / no clear association,An IQR increment in BC exposure during the third trimester of pregnancy was associated with an 11.5 % (95% CI: -20.1 to -1.9; p = 0.020) lower skin hyperemia.,not reported,not reported,not specified,not specified,not specified,not specified,not specified,regression models,An IQR increment in BC exposure during the third trimester of pregnancy was associated with an 11.5 % (95% CI: -20.1 to -1.9; p = 0.020) lower skin hyperemia.,PMID: 34358916,Dynamics of skin microvascular blood flow in 4-6-year-old children in association with pre- and postnatal black carbon and particulate air pollution exposure,medium,pending,
clin-1525,clinical trial / intervention study,pregnant women/infants/children,not specified,"liquefied petroleum gas (LPG) stove, improved biomass stove versus control (traditional, open fire cook stove)",not extracted,randomized clinical trial,intervention effect evaluated,not extracted,not reported,not reported,not specified,a Ghanaian Pregnancy Cohort,not specified,not specified,a Ghanaian Pregnancy Cohort,multivariable linear regression,"Higher prenatal particulate matter exposure was associated with reduced TL (β = -4.9% (95% CI -8.6, -0.4), = 0.03, per 10 ug/m increase in PM).",PMID: 34357912,"Prenatal Household Air Pollution Exposure, Cord Blood Mononuclear Cell Telomere Length and Age Four Blood Pressure: Evidence from a Ghanaian Pregnancy Cohort",low,pending,
clin-1526,clinical epidemiology / health equity cohort,pregnant women/infants/children,non-Hispanic White population,non-Hispanic White comparator group,obesity,not specified,positive association,not extracted,803 pregnancies,not reported,not specified,not specified,not specified,not specified,not specified,not extracted,"There were more non-Hispanic Black (31.7 %) and Hispanic (42.6 %) children with overweight/obesity, than non-Hispanic white (18.2 %) and Asian/Pacific Islander (16.4 %) children (p < 0.0001).",PMID: 34343551,Association between gestational PFAS exposure and Children's adiposity in a diverse population,medium,pending,
clin-1527,pharmacy education / simulation evaluation study,cohort participants,not specified,evaluator type: standardized patient evaluator vs pharmacist evaluator,mortality,education / simulation evaluation study,agreement/disagreement comparison,not extracted,not reported,not reported,2025-2030,not specified,not specified,not specified,not specified,not extracted,"Instead, statistics on mortality and hospitalizations due to cardiovascular and respiratory diseases were collected from the regional health information system and the National Health Institute and implemented in the BenMap software to evaluate the health and economic impacts.",PMID: 34333307,Effects of deployment of electric vehicles on air quality in the urban area of Turin (Italy),medium,pending,
clin-1528,clinical / observational study,patients reporting/not reporting an SSN,"seasonal/time-of-year patterns, evaluated separately by sex",temperature (seasonal context),cardiovascular; respiratory,case-crossover study,higher risk,Mean temperature raised the odds of five heat-sensitive health outcomes with the highest odds ratios (ORs) for heat-related illness.,not reported,not reported,2008-2012,not specified,not specified,not specified,not specified,not extracted,"Patients not reporting an SSN between 25 and 44 years (1.264, 95 % CI: 1.192-1.340) exhibited significantly higher dehydration ED ORs than those reporting an SSN (1.146, 95 % CI: 1.136-1.157).",PMID: 34331925,"Using social security number to identify sub-populations vulnerable to the health impacts from extreme heat in Florida, U.S",medium,pending,
clin-1529,clinical / observational time-series study,study participants,not specified,mine fire related particulate matter and mortality: A time series analysis from the Hazelwood Health Study,all-cause mortality; cardiovascular; respiratory,time-series epidemiologic study,positive association,"During the 30-day mine fire period, there was an increased risk of death from injury in the most exposed town of Morwell, however no increased risk was observed for all-cause, cardiovascular or respiratory mortality.",not reported,not reported,2014,not specified,not specified,not specified,not specified,not extracted,"During the 30-day mine fire period, there was an increased risk of death from injury in the most exposed town of Morwell, however no increased risk was observed for all-cause, cardiovascular or respiratory mortality.",PMID: 34329135,Exposure to mine fire related particulate matter and mortality: A time series analysis from the Hazelwood Health Study,medium,pending,
clin-1530,clinical trial / intervention study,older adults,placebo,trial intervention / treatment exposure,"kidney molecular, vascular, inflammatory, and metabolic markers",randomized clinical trial,intervention effect evaluated,not extracted,24 residents,not reported,2020,not specified,not specified,not specified,not specified,linear mixed-effects models,"This intervention study demonstrated that air filtration was associated with significantly decreased concentrations of inflammatory and coagulation biomarkers, but not of biomarkers of oxidative stress and lung function.",PMID: 34325134,"Reducing particulates in indoor air can improve the circulation and cardiorespiratory health of old people: A randomized, double-blind crossover trial of air filtration",medium,pending,
clin-1531,prospective clinical / observational study,patients were prospectively recruited from 52 hospitals throughout China between August 2016 and May 2018,before vs after comparison,ambient air pollution and clinical outcomes among patients with heart failure: Findings from the China PEACE Prospective Heart Failure Study,cardiovascular,prospective observational study,higher risk,"Air pollutants included PM [HR (hazard ratio) = 1.146, 95% CI (confidence interval): 1.044, 1.259], PM (HR = 1.120, 95% CI: 1.043, 1.203), SO (HR = 1.808, 95% CI: 1.190, 2.747), and CO (HR = 3.596, 95% CI: 1.792, 7.218) were associated with higher risk of HF readmission in South China, but not in North China, where people spend less time outdoors and have limited indoor-outdoor ventilation.",4866 patients,4866 patients,2016-2018,not specified,52 hospitals throughout China,not specified,not specified,Cox proportional hazards models,"Air pollutants included PM [HR (hazard ratio) = 1.146, 95% CI (confidence interval): 1.044, 1.259], PM (HR = 1.120, 95% CI: 1.043, 1.203), SO (HR = 1.808, 95% CI: 1.190, 2.747), and CO (HR = 3.596, 95% CI: 1.792, 7.218) were associated with higher risk of HF readmission in South China, but not in North China, where people spend less time outdoors and have limited indoor-outdoor ventilation.",PMID: 34303044,Association between long-term exposure to ambient air pollution and clinical outcomes among patients with heart failure: Findings from the China PEACE Prospective Heart Failure Study,high,pending,
clin-1532,clinical / observational time-series study,"children under 14 years old in Beijing, China, during 2015-2017",not specified,primary study factor described in the abstract,respiratory,time-series epidemiologic study,positive association,"Among the 136 925 cases of all-respiratory ERVs, increased risks were associated with IQR increases in PNC (ER=5.4%, 95% CI 2.4% to 8.6%), PNC (4.9%, 95% CI 2.5% to 7.3%) and PM (1.3%, 95% CI 0.1% to 2.5%) at current and 1 prior days (lag0-1).",not reported,not reported,2015-2017,not specified,not specified,not specified,not specified,regression models,"Among the 136 925 cases of all-respiratory ERVs, increased risks were associated with IQR increases in PNC (ER=5.4%, 95% CI 2.4% to 8.6%), PNC (4.9%, 95% CI 2.5% to 7.3%) and PM (1.3%, 95% CI 0.1% to 2.5%) at current and 1 prior days (lag0-1).",PMID: 34301742,Associations of ultrafine and fine particles with childhood emergency room visits for respiratory diseases in a megacity,medium,pending,
clin-1533,clinical trial / intervention study,pregnant women/infants/children,not specified,trial intervention / treatment exposure,"kidney molecular, vascular, inflammatory, and metabolic markers",clinical trial / intervention study,biological effect observed,not extracted,not reported,not reported,not specified,not specified,not specified,the Breathing for Life Trial,not specified,linear regression,We investigated the association between ambient air pollutants during pregnancy and cell populations in cord blood from babies born to mothers with asthma enrolled in the Breathing for Life Trial.,PMID: 34299892,Environmental Air Pollutants Inhaled during Pregnancy Are Associated with Altered Cord Blood Immune Cell Profiles,medium,pending,
clin-1534,longitudinal clinical / observational study,pregnant women/infants,not specified,To examine the impact of acute air pollution exposure during pregnancy on uterine and umbilical artery Doppler indicators of placental vascular resistance..,birth weight/fetal growth,longitudinal observational study,positive association,"Each inter-quartile range (IQR) increase of particulate matter < 2.5 μm, nitrate, ammonium, primary organic matter (POM) and nitrogen dioxide during the hour of ultrasound was associated with a decreased risk of unilateral systolic notch and with increased resistance index of the left uterine artery.",2562 women,2562 women,not specified,not specified,12 clinics throughout the United States underwent up to five standardized ultrasounds,not specified,not specified,linear mixed models; logistic regression,"Each inter-quartile range (IQR) increase of particulate matter < 2.5 μm, nitrate, ammonium, primary organic matter (POM) and nitrogen dioxide during the hour of ultrasound was associated with a decreased risk of unilateral systolic notch and with increased resistance index of the left uterine artery.",PMID: 34297937,Acute ambient air pollution exposure and placental Doppler results in the NICHD fetal growth studies - Singleton cohort,high,pending,
clin-1535,clinical / observational study,"participants who received care from Federally Qualified Health Centers; hence, they represent vulnerable individuals from low-income families across this vast region",not specified,fine particulate matter (PM2,cardiovascular; mortality; diabetes; hypertension,cohort study,positive association,"The SCCS participants with medical histories of hypertension, hypercholesterolemia, and smoking had, overall, 385 percent higher odds of reported CVD than those without these clinical risk factors.","44,610 individuals","44,610 individuals",2002-2009,not specified,not specified,not specified,not specified,logistic regression,"The SCCS participants with medical histories of hypertension, hypercholesterolemia, and smoking had, overall, 385 percent higher odds of reported CVD than those without these clinical risk factors.",PMID: 39749358,Association of Cardiovascular Disease and Long-Term Exposure to fine particulate matter (PM2.5) in the Southeastern United States.,high,pending,
clin-1536,clinical / observational study,Patient Registry,not specified,per- and polyfluoroalkyl substances (PFAS) and associations with attention-deficit/hyperactivity disorder and autism spectrum disorder in children,autism spectrum disorder,cohort study,positive association,"Odds of ASD was significantly elevated in PFOA quartile 2 [OR = 1.71 (95% CI: 1.20, 2.45)] compared to quartile 1, and PFOA appeared to have a non-linear, inverted U-shaped dose-response relationship with ASD.",821 cases,821 cases,not specified,Medical Birth Registry,not specified,not specified,not specified,regression models,"Odds of ASD was significantly elevated in PFOA quartile 2 [OR = 1.71 (95% CI: 1.20, 2.45)] compared to quartile 1, and PFOA appeared to have a non-linear, inverted U-shaped dose-response relationship with ASD.",PMID: 34293314,Prenatal exposure to per- and polyfluoroalkyl substances (PFAS) and associations with attention-deficit/hyperactivity disorder and autism spectrum disorder in children,high,pending,
clin-1537,clinical trial / intervention study,children,not specified,trial intervention / treatment exposure,not extracted,randomized clinical trial,intervention effect evaluated,not extracted,not reported,not reported,not specified,not specified,not specified,not specified,not specified,linear regression,"10, We conducted a randomized trial of portable HEPA air cleaners in the homes of children age 6-12 years with asthma in the Yakima Valley, Washington.",PMID: 34288127,"Effectiveness of portable HEPA air cleaners on reducing indoor endotoxin, PM and coarse particulate matter in an agricultural cohort of children with asthma: A randomized intervention trial. 10,",low,pending,
clin-1538,clinical epidemiology / health equity cohort,pregnant women/infants,not specified,African American population group,not extracted,cohort study,null / no clear association,not extracted,not reported,not reported,not specified,not specified,not specified,not specified,"Atlanta, GA",weighted quantile sum regression,"We found mostly positive associations of total 25(OH)D with PFHxS (perfluorohexane sulfonic acid), PFOS (perfluorooctane sulfonic acid), PFDA (perfluorodecanoic acid), and NMeFOSAA (N-methyl perfluorooctane sulfonamido acetic acid), and negative associations with PFPeA (perfluoropentanoic acid).",PMID: 34284018,Associations of single and multiple per- and polyfluoroalkyl substance (PFAS) exposure with vitamin D biomarkers in African American women during pregnancy,low,pending,
clin-1539,clinical / observational study,pregnant women/infants,before vs after comparison,primary study factor described in the abstract,birth weight/fetal growth; reproductive,observational study,null / no clear association,Maternal PFAS were also associated with a lower mean of birth weight but the estimated 95% CI included the null.,351,351,not specified,not specified,not specified,not specified,not specified,linear regression,Maternal PFAS were associated with increased estradiol (e.g.,PMID: 34273704,"Associations of paternal and maternal per- and polyfluoroalkyl substances exposure with cord serum reproductive hormones, placental steroidogenic enzyme and birth weight",high,pending,
clin-1540,pharmacy education / simulation evaluation study,cohort participants,not specified,evaluator type: standardized patient evaluator vs pharmacist evaluator,not extracted,education / simulation evaluation study,agreement/disagreement comparison,not extracted,not reported,not reported,2017,coordinated specialty care sites; FAMES/CURATE implementation study protocol,not specified,not specified,not specified,not extracted,"We estimate the fires accounted for an excess 240 (95% CI: 114, 404) respiratory, 68 (95% CI: -10, 159) cardiovascular, and 45 (95% CI: 18, 81) asthma hospital admissions, with 56% of admissions occurring in the Bay Area.",PMID: 34250370,Estimating the Acute Health Impacts of Fire-Originated particulate matter exposure During the 2017 California Wildfires: Sensitivity to Choices of Inputs.,low,pending,
clin-1541,clinical trial / intervention study,cohort participants,not specified,trial intervention / treatment exposure,"kidney molecular, vascular, inflammatory, and metabolic markers",randomized clinical trial,intervention effect evaluated,not extracted,not reported,not reported,1987,not specified,not specified,not specified,not specified,linear mixed-effects models,"We conducted a randomized, double-blinded, crossover intervention study in which 39 healthy university students spent 2 h next to a busy road.",PMID: 34243086,"Acute cardiovascular effects of traffic-related air pollution (TRAP) exposure in healthy adults: A randomized, blinded, crossover intervention study",medium,pending,
clin-1542,clinical / observational study,participants) were included,not specified,per- and polyfluoroalkyl substances (PFAS) during pregnancy has been suggested to be associated with adverse pregnancy and birth outcomes,birth weight; preterm birth; pregnancy outcomes; diabetes; hypertension,systematic review/meta-analysis,not extracted,not extracted,not reported,not reported,2021,not specified,not specified,not specified,not specified,meta-analysis,"The online databases PubMed, EMBASE and Web of Science were searched comprehensively for eligible studies from inception to February 2021.",PMID: 34237336,Per- and polyfluoroalkyl substances exposure during pregnancy and adverse pregnancy and birth outcomes: A systematic review and meta-analysis,low,pending,
clin-1543,clinical trial / intervention study,pregnant women/infants/children,not specified,receive 1 versus 2 HEPA filter air cleaners or no air cleaners,not extracted,randomized clinical trial,intervention effect evaluated,not extracted,478 children,not reported,not specified,not specified,not specified,a median of 11 weeks gestation,not specified,not extracted,We enrolled participants at a median of 11 weeks gestation.,PMID: 34225757,Portable HEPA filter air cleaner use during pregnancy and children's behavior problem scores: a secondary analysis of the UGAAR randomized controlled trial,low,pending,
